train_loss,train_f1,train_prec,train_rec,train_acc,val_f1,val_prec,val_rec,val_acc,epoch,step,test_f1,test_prec,test_rec,test_acc
9150.8095703125,0.5017544031143188,0.5461556911468506,0.6387166976928711,0.6467683911323547,0.4999161958694458,0.547031819820404,0.642472505569458,0.640792727470398,0,0,,,,
9059.6650390625,0.5032919645309448,0.5462948679924011,0.638545036315918,0.649968147277832,0.5018149018287659,0.5448268055915833,0.6338387727737427,0.6495664715766907,1,1,,,,
9240.248046875,0.5059760808944702,0.5462647676467896,0.637192964553833,0.6561957001686096,0.5088316798210144,0.5496124029159546,0.6478008031845093,0.6555532813072205,2,2,,,,
8733.078125,0.5093924403190613,0.5477502942085266,0.6408670544624329,0.6609093546867371,0.5102447867393494,0.54655522108078,0.6359504461288452,0.6654624342918396,3,3,,,,
8597.3828125,0.5137568116188049,0.5494405031204224,0.6446865797042847,0.6673949360847473,0.5103589296340942,0.5467667579650879,0.6366598606109619,0.6652559638023376,4,4,,,,
8677.2568359375,0.5157369375228882,0.5495638847351074,0.6439840793609619,0.6717989444732666,0.5163914561271667,0.5497905611991882,0.6443139314651489,0.6727394461631775,5,5,,,,
8553.814453125,0.5197862386703491,0.5517539381980896,0.6496327519416809,0.6764437556266785,0.5151799321174622,0.5472292900085449,0.635563313961029,0.6757844686508179,6,6,,,,
8395.587890625,0.5203475952148438,0.5503952503204346,0.6441484689712524,0.680968165397644,0.5187896490097046,0.5504468679428101,0.6452569961547852,0.6769714951515198,7,7,,,,
8347.279296875,0.5224593281745911,0.5518285036087036,0.6481165885925293,0.6827057003974915,0.5201097130775452,0.550096869468689,0.6430723667144775,0.6809971332550049,8,8,,,,
8364.76953125,0.5225754976272583,0.5504984855651855,0.6429827213287354,0.6861979365348816,0.5308329463005066,0.5571858882904053,0.6623749136924744,0.6902353167533875,9,9,,,,
8431.2470703125,0.523469865322113,0.5518032312393188,0.6473037004470825,0.685234546661377,0.5266746282577515,0.5529566407203674,0.6492189168930054,0.6902353167533875,10,10,,,,
8151.7314453125,0.5259326100349426,0.552288293838501,0.6473312377929688,0.6901374459266663,0.5277217030525208,0.5542289018630981,0.6533221006393433,0.6897192597389221,11,11,,,,
7719.61962890625,0.5271152257919312,0.5527911186218262,0.6483536958694458,0.6918405890464783,0.522811233997345,0.550375759601593,0.6422338485717773,0.6869838833808899,12,12,,,,
8091.576171875,0.5308178663253784,0.5554538369178772,0.6557375192642212,0.69447261095047,0.5299515128135681,0.55540531873703,0.656131386756897,0.6923513412475586,13,13,,,,
7791.55859375,0.5283688902854919,0.5529956817626953,0.6481460332870483,0.69447261095047,0.534225344657898,0.5582669973373413,0.6638339161872864,0.6959124803543091,14,14,,,,
7881.13671875,0.5301371812820435,0.554182767868042,0.6513233780860901,0.6959348917007446,0.531101644039154,0.5546857714653015,0.6523666381835938,0.69699627161026,15,15,,,,
7382.728515625,0.5310901403427124,0.5546159148216248,0.6522209644317627,0.6972423195838928,0.5297473669052124,0.5545889139175415,0.6531124114990234,0.6938480734825134,16,16,,,,
7786.51123046875,0.5316649675369263,0.555080771446228,0.6535604596138,0.6975175738334656,0.5377596616744995,0.5610826015472412,0.6719757318496704,0.6977704167366028,17,17,,,,
7596.84765625,0.536647617816925,0.5582783222198486,0.6618590354919434,0.7019904255867004,0.5358717441558838,0.5583888292312622,0.6628785133361816,0.6996800303459167,18,18,,,,
7547.5986328125,0.532291829586029,0.555481493473053,0.6546025276184082,0.6980853080749512,0.5313835740089417,0.5559444427490234,0.657070517539978,0.6945706009864807,19,19,,,,
7499.76513671875,0.5356853008270264,0.5573601126670837,0.659058690071106,0.7018871903419495,0.5338701009750366,0.5567760467529297,0.658231258392334,0.698699414730072,20,20,,,,
7501.1552734375,0.5358027815818787,0.5577497482299805,0.66051185131073,0.7011990547180176,0.5328922271728516,0.5564172267913818,0.6576589345932007,0.6971511244773865,21,21,,,,
7338.67822265625,0.5317680835723877,0.555520236492157,0.6552033424377441,0.696674644947052,0.5333183407783508,0.5558760762214661,0.6551477909088135,0.6995767951011658,22,22,,,,
7215.859375,0.5343772172927856,0.5569079518318176,0.6584320664405823,0.6997367739677429,0.5341734886169434,0.5567499399185181,0.6578603982925415,0.6995251774787903,23,23,,,,
7306.9287109375,0.5342044830322266,0.556442379951477,0.6567327976226807,0.7004765272140503,0.5334446430206299,0.5562885999679565,0.656671404838562,0.6988542675971985,24,24,,,,
6909.5732421875,0.5339028835296631,0.556502640247345,0.6572405099868774,0.6995647549629211,0.5358686447143555,0.5584900379180908,0.6632856726646423,0.6994219422340393,25,25,,,,
6972.03759765625,0.5332154035568237,0.5555799603462219,0.65418541431427,0.7001668810844421,0.532379150390625,0.5560475587844849,0.6566392183303833,0.6967898607254028,26,26,,,,
6715.86279296875,0.5383738875389099,0.5596733689308167,0.6658775210380554,0.7028161287307739,0.5291972160339355,0.5531118512153625,0.6478040218353271,0.6961705088615417,27,27,,,,
,,,,,,,,,28,28,0.4884166717529297,0.5805478692054749,0.7654740214347839,0.5744143128395081
