layer_idx,conv_type,naive_aggregations,actual_aggregations,saved_aggregations,saved_ratio,rec_num_edges,rec_num_unique_edges,rec_num_recurring_edges,rec_recurring_ratio,cache_hits,cache_hit_ratio,lcs_num_edges_total,lcs_num_edges_kept,lcs_num_edges_pruned,lcs_pruned_ratio,lcs_threshold
0,GatedDirGCNConv,41200.0,41141.0,59.0,0.0014320388349514563,41200,41142,58,0.0014077669902912622,58,0.0014077669902912622,41200,41199,1,2.4271844660194176e-05,0.5
1,GatedDirGCNConv,41200.0,13318.0,27882.0,0.676747572815534,41200,41142,58,0.0014077669902912622,58,0.0014077669902912622,41200,13340,27860,0.6762135922330097,0.5
2,GatedDirGCNConv,41200.0,40893.0,307.0,0.007451456310679612,41200,41142,58,0.0014077669902912622,58,0.0014077669902912622,41200,40951,249,0.006043689320388349,0.5
