train_loss,train_f1,train_prec,train_rec,train_acc,val_f1,val_prec,val_rec,val_acc,epoch,step,test_f1,test_prec,test_rec,test_acc
268.8562927246094,0.538038969039917,0.5489968061447144,0.5565688610076904,0.55859375,0.5638535618782043,0.5660943984985352,0.5733809471130371,0.5911999940872192,0,0,,,,
254.72750854492188,0.5399019122123718,0.5487639904022217,0.5574280023574829,0.5693359375,0.556602418422699,0.5574178695678711,0.5627182722091675,0.5896000266075134,1,1,,,,
256.18634033203125,0.543749988079071,0.5475711822509766,0.5533140897750854,0.572265625,0.5441703796386719,0.5445210933685303,0.5478988885879517,0.5824000239372253,2,2,,,,
235.529296875,0.5247061252593994,0.5289437770843506,0.5328084230422974,0.5615234375,0.5485715866088867,0.5489259362220764,0.5528008937835693,0.5856000185012817,3,3,,,,
241.31588745117188,0.5525558590888977,0.555238664150238,0.5633431673049927,0.5927734375,0.5753846168518066,0.5744733810424805,0.5792697072029114,0.6136000156402588,4,4,,,,
234.14076232910156,0.5537896752357483,0.5551002025604248,0.5606627464294434,0.5869140625,0.5885628461837769,0.5872347950935364,0.5918535590171814,0.628000020980835,5,5,,,,
219.0623779296875,0.5878540277481079,0.5864129662513733,0.592777669429779,0.6298828125,0.5854766368865967,0.584221601486206,0.5888465642929077,0.6248000264167786,6,6,,,,
192.8358917236328,0.6220383048057556,0.6195312738418579,0.6306209564208984,0.6591796875,0.5649691820144653,0.5658321976661682,0.5643630027770996,0.6215999722480774,7,7,,,,
217.78358459472656,0.5571236610412598,0.5564152002334595,0.5586301684379578,0.6103515625,0.5698529481887817,0.5707090497016907,0.5692270994186401,0.6255999803543091,8,8,,,,
202.25135803222656,0.5765490531921387,0.5760678052902222,0.5771195888519287,0.63671875,0.5666042566299438,0.5661790370941162,0.5671545267105103,0.6159999966621399,9,9,,,,
217.752197265625,0.606158971786499,0.6052709817886353,0.607255220413208,0.654296875,0.5545561909675598,0.5553518533706665,0.5540409088134766,0.6128000020980835,10,10,,,,
213.6794891357422,0.5846208333969116,0.5841042995452881,0.5852272510528564,0.640625,0.5974264740943909,0.5985829830169678,0.5965167880058289,0.6496000289916992,11,11,,,,
202.80966186523438,0.6045454740524292,0.6034424304962158,0.6059412956237793,0.66015625,0.5662810802459717,0.5674834251403809,0.5655127763748169,0.6240000128746033,12,12,,,,
190.8907470703125,0.6262674331665039,0.6267045140266418,0.6258553862571716,0.677734375,0.6066176295280457,0.6078742742538452,0.6056133508682251,0.6575999855995178,13,13,,,,
185.64120483398438,0.6011014580726624,0.5997354984283447,0.6029548645019531,0.66015625,0.5618705153465271,0.5625829696655273,0.5613560080528259,0.618399977684021,14,14,,,,
171.24942016601562,0.6132983565330505,0.6135183572769165,0.6130847930908203,0.677734375,0.5980793237686157,0.5993274450302124,0.5971106290817261,0.6503999829292297,15,15,,,,
194.78895568847656,0.6093503832817078,0.6106032729148865,0.6083171963691711,0.666015625,0.5833243131637573,0.5868043899536133,0.5816217660903931,0.6439999938011169,16,16,,,,
194.54237365722656,0.6025364995002747,0.6014372110366821,0.6039651036262512,0.6552734375,0.6031933426856995,0.6049642562866211,0.6018990278244019,0.656000018119812,17,17,,,,
165.81141662597656,0.6403231620788574,0.6381406784057617,0.643343448638916,0.6865234375,0.5905368328094482,0.5929505825042725,0.5890503525733948,0.6471999883651733,18,18,,,,
173.59677124023438,0.6258743405342102,0.6245734095573425,0.6274787187576294,0.67578125,0.6018748879432678,0.6052286028862,0.5998905301094055,0.6583999991416931,19,19,,,,
181.3271026611328,0.6136363744735718,0.6194463968276978,0.6107938289642334,0.66796875,0.6087830066680908,0.6125814914703369,0.6065361499786377,0.6647999882698059,20,20,,,,
184.0701141357422,0.6338348388671875,0.6378204822540283,0.6312617063522339,0.681640625,0.5859646797180176,0.5861918926239014,0.5857523083686829,0.6367999911308289,21,21,,,,
151.87472534179688,0.6416506767272949,0.6398073434829712,0.6440141797065735,0.689453125,0.597275972366333,0.5972151756286621,0.5973377227783203,0.6456000208854675,22,22,,,,
149.0152130126953,0.6450685262680054,0.6420972943305969,0.6494349241256714,0.6962890625,0.5940418243408203,0.594558835029602,0.5935854911804199,0.6448000073432922,23,23,,,,
144.26583862304688,0.6455731987953186,0.6415697336196899,0.653333306312561,0.693359375,0.6061823964118958,0.6066855788230896,0.6057268977165222,0.6552000045776367,24,24,,,,
159.58763122558594,0.6298099756240845,0.6281685829162598,0.6320017576217651,0.6748046875,0.5942961573600769,0.5928429365158081,0.5986504554748535,0.6312000155448914,25,25,,,,
150.86288452148438,0.635741114616394,0.633243978023529,0.6393303871154785,0.6875,0.6091160774230957,0.610492467880249,0.6080265045166016,0.6600000262260437,26,26,,,,
157.0176544189453,0.6595222353935242,0.655613362789154,0.6680184006690979,0.6953125,0.6181224584579468,0.6160369515419006,0.6228575706481934,0.6535999774932861,27,27,,,,
146.95550537109375,0.6289491653442383,0.6272020936012268,0.6312602162361145,0.6787109375,0.612486720085144,0.6113820672035217,0.613938570022583,0.6552000045776367,28,28,,,,
141.7074737548828,0.6657148599624634,0.6628844738006592,0.6696636080741882,0.70703125,0.6123085021972656,0.6121019124984741,0.6125239133834839,0.6583999991416931,29,29,,,,
142.39337158203125,0.6398535966873169,0.6370600461959839,0.6456510424613953,0.6748046875,0.6100636720657349,0.608637809753418,0.6122328042984009,0.651199996471405,30,30,,,,
145.8548583984375,0.6515369415283203,0.6498292684555054,0.6535768508911133,0.703125,0.6088902950286865,0.6078251004219055,0.6102999448776245,0.6520000100135803,31,31,,,,
145.07891845703125,0.6496216058731079,0.6463963389396667,0.6554663181304932,0.6884765625,0.6314354538917542,0.6293759942054749,0.6347718834877014,0.6687999963760376,32,32,,,,
