train_loss,train_f1,train_prec,train_rec,train_acc,val_f1,val_prec,val_rec,val_acc,epoch,step,test_f1,test_prec,test_rec,test_acc
0.7756178379058838,0.3595561683177948,0.510596513748169,0.5249236822128296,0.3990707993507385,0.3676636219024658,0.5170794725418091,0.5401997566223145,0.4074953496456146,0,0,,,,
0.7568920850753784,0.39411479234695435,0.5139245986938477,0.534774661064148,0.45359599590301514,0.38792112469673157,0.5149800777435303,0.5368769764900208,0.44177162647247314,1,1,,,,
0.7229633927345276,0.4286143183708191,0.5212135910987854,0.5542035698890686,0.5085300207138062,0.41343554854393005,0.5221987366676331,0.5559401512145996,0.47935163974761963,2,2,,,,
0.6966690421104431,0.45975279808044434,0.5265541672706604,0.5673190355300903,0.5630552172660828,0.4440927505493164,0.5294755101203918,0.5751721858978271,0.5274623036384583,3,3,,,,
0.6626386642456055,0.4850320816040039,0.5294145345687866,0.5715838074684143,0.6139751076698303,0.4538102447986603,0.5252590179443359,0.564106822013855,0.5523436069488525,4,4,,,,
0.6427000164985657,0.5067376494407654,0.5347887277603149,0.5798898935317993,0.6559747457504272,0.4727321267127991,0.5296283960342407,0.573989987373352,0.5852777361869812,5,5,,,,
0.620214581489563,0.5287527441978455,0.5425437688827515,0.5901339650154114,0.6969336271286011,0.4851950407028198,0.5289452075958252,0.5701096057891846,0.6149080991744995,6,6,,,,
0.602965772151947,0.5487852096557617,0.5504852533340454,0.5947997570037842,0.738264262676239,0.503031313419342,0.5344484448432922,0.5801758766174316,0.6467065811157227,7,7,,,,
0.5868630409240723,0.5611457228660583,0.5566986799240112,0.5944846868515015,0.767292320728302,0.5103648900985718,0.5328744649887085,0.5726943612098694,0.6706587076187134,8,8,,,,
0.5650205016136169,0.5681445598602295,0.5613163709640503,0.5891045928001404,0.7912655472755432,0.5305957794189453,0.5437802672386169,0.5923473238945007,0.6983274817466736,9,9,,,,
0.5440829992294312,0.5721319913864136,0.5663146376609802,0.5822029113769531,0.8122653961181641,0.5273910760879517,0.5380212068557739,0.5769227147102356,0.7074127793312073,10,10,,,,
0.5279894471168518,0.5813996195793152,0.5783925652503967,0.5850009322166443,0.8293997645378113,0.5419062376022339,0.5445984601974487,0.5827270746231079,0.736010730266571,11,11,,,,
